"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Candidatus Methanomethylophilus alvus",13,10286,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Candidatus Methanomethylophilaceae","Candidatus Methanomethylophilus","alvus"
"Aciduliprofundum boonei",3,50,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Aciduliprofundum","boonei"
"Candidatus Methanoplasma termitum",11,3434,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Candidatus Methanoplasma","termitum"
"Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis",14,448,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomassiliicoccaceae","Methanomassiliicoccus","Candidatus Methanomassiliicoccus intestinalis"
"Cuniculiplasma divulgatum",4,47,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Cuniculiplasmataceae","Cuniculiplasma","divulgatum"
"Thermoplasma volcanium",4,56,"Archaea","Candidatus Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","volcanium"
"Acidilobus saccharovorans",2,60,"Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","saccharovorans"
"Aeropyrum camini",2,30,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","camini"
"Aeropyrum pernix",2,204,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","pernix"
"Acidianus brierleyi",9,171,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","brierleyi"
"Acidianus hospitalis",2,39,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","hospitalis"
"Acidianus manzaensis",7,98,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","manzaensis"
"Acidianus sp. HS-5",3,32,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","sp. HS-5"
"Acidianus sulfidivorans",3,44,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","sulfidivorans"
"Metallosphaera hakonensis",2,28,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","hakonensis"
"Saccharolobus caldissimus",7,94,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","caldissimus"
"Saccharolobus solfataricus",2,31,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Saccharolobus","solfataricus"
"Stygiolobus sp. KN-1",5,64,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Stygiolobus","sp. KN-1"
"Sulfolobus acidocaldarius",2,22,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","acidocaldarius"
"Sulfolobus islandicus",8,144,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","islandicus"
"Sulfuracidifex tepidarius",2,28,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfuracidifex","tepidarius"
"Thermofilum pendens",3,60,"Archaea","Crenarchaeota","Thermoprotei","Thermofilales","Thermofilaceae","Thermofilum","pendens"
"Pyrobaculum ferrireducens",6,110,"Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","ferrireducens"
"Thermoproteus tenax",3,52,"Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","tenax"
"Thermoproteus uzoniensis",2,38,"Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","uzoniensis"
"Vulcanisaeta moutnovskia",4,42,"Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Vulcanisaeta","moutnovskia"
"Archaeoglobus fulgidus",5,80,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","fulgidus"
"Archaeoglobus profundus",2,26,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","profundus"
"Archaeoglobus sulfaticallidus",3,36,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","sulfaticallidus"
"Archaeoglobus veneficus",2,22,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","veneficus"
"Ferroglobus placidus",3,38,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","placidus"
"Geoglobus ahangari",4,56,"Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Geoglobus","ahangari"
"Halapricum desulfuricans",14,516,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halapricum","desulfuricans"
"Halapricum salinum",9,164,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halapricum","salinum"
"Haloarcula sinaiiensis",2,87,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","sinaiiensis"
"Haloarcula sp. JP-L23",13,428,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","sp. JP-L23"
"Haloarcula taiwanensis",6,205,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","taiwanensis"
"Halococcoides cellulosivorans",5,92,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halococcoides","cellulosivorans"
"Halomicrobium salinisoli",12,356,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","salinisoli"
"Halomicrobium sp. LC1Hm",5,198,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","sp. LC1Hm"
"Halorhabdus sp. CBA1104",7,108,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","sp. CBA1104"
"Halorhabdus tiamatea",5,196,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","tiamatea"
"Halorhabdus utahensis",9,207,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","utahensis"
"Halorientalis sp. IM1011",6,152,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorientalis","sp. IM1011"
"Halosiccatus urmianus",9,238,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosiccatus","urmianus"
"Halosimplex litoreum",10,260,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","litoreum"
"Halosimplex pelagicum",9,375,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","pelagicum"
"Halosimplex rubrum",9,402,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","rubrum"
"Natronomonas halophila",6,126,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","halophila"
"Natronomonas moolapensis",7,102,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","moolapensis"
"Natronomonas pharaonis",4,74,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","pharaonis"
"Natronomonas salina",10,266,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","salina"
"Haladaptatus pallidirubidus",10,240,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","pallidirubidus"
"Haladaptatus sp. PSR5",9,189,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR5"
"Haladaptatus sp. PSR8",13,286,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR8"
"Halalkalicoccus jeotgali",11,190,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halalkalicoccus","jeotgali"
"Halanaeroarchaeum sulfurireducens",2,24,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halanaeroarchaeum","sulfurireducens"
"Halarchaeum sp. CBA1220",10,226,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halarchaeum","sp. CBA1220"
