"","MFMRCFS0322","MFMRCFS0422","MFMRCFS0522","MFMRCFS0622","MFMRCFS0722","MFMRCFS0822","MFMRCFS0922","MFMRCFS1022","MFMRCFS1122","MFMRCFS1222","MFMRCFS1322","MFMRCFS1422","MFMRCFS1522","MFMRCFS1622","MFMRCFS1722"
"Candidatus Micrarchaeum sp.",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Candidatus Methanomethylophilus alvus",4248,1086,300,1998,868,46,278,568,28,10,416,190,250,0,0
"Aciduliprofundum boonei",0,0,0,0,0,0,20,16,0,0,14,0,0,0,0
"Candidatus Methanoplasma termitum",674,220,64,642,158,0,360,762,24,0,278,178,74,0,0
"Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis",100,32,22,64,24,12,54,44,16,10,28,10,16,16,0
"Cuniculiplasma divulgatum",0,0,0,0,0,0,11,0,10,0,0,10,0,16,0
"Ferroplasma acidiphilum",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Picrophilus torridus",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Thermoplasma volcanium",10,0,0,0,0,26,10,0,10,0,0,0,0,0,0
"Acidilobus saccharovorans",34,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"Acidilobus sp. 7A",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caldisphaera lagunensis",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Aeropyrum camini",0,12,0,0,0,0,0,18,0,0,0,0,0,0,0
"Aeropyrum pernix",176,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfurococcus amylolyticus",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Desulfurococcus mucosus",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ignicoccus hospitalis",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"Staphylothermus marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Thermosphaera aggregans",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"Fervidicoccus fontis",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
