"Var1","Freq"
"0",3582
"4.10484766089361e-06",58
"4.15164118527695e-06",38
"4.56680530380465e-06",1
"4.92581719307233e-06",51
"4.98196942233234e-06",41
"5.00725551323868e-06",27
"5.11786441753585e-06",1
"5.27383880617166e-06",16
"5.39713354086004e-06",1
"5.50798106456255e-06",2
"5.53291364339044e-06",8
"5.61369472054466e-06",35
"5.74678672525105e-06",39
"5.80122268678882e-06",1
"5.81229765938773e-06",33
"6.00870661588642e-06",30
"6.08620500772948e-06",1
"6.15727149134041e-06",2
"6.17506419259913e-06",3
"6.22746177791543e-06",2
"6.32860656740599e-06",21
"6.56775625742977e-06",66
"6.63949637206852e-06",14
"6.64262589644312e-06",39
"6.7364336646536e-06",42
"6.85599044802315e-06",3
"6.89229276254122e-06",37
"6.92039606810777e-06",69
"6.97824102351914e-06",4
"7.01015771853416e-06",38
"7.05779001497082e-06",3
"7.19278773640757e-06",1
"7.29780313670806e-06",2
"7.38337432864032e-06",29
"7.3887257896085e-06",40
"7.47295413349851e-06",42
"7.51088326985802e-06",1
"7.58152203879534e-06",1
"7.61243567491855e-06",6
"7.74607910074661e-06",8
"7.79921055569786e-06",4
"7.85917260876253e-06",40
"7.88811825202621e-06",2
"7.91075820925749e-06",2
"8.01160882118189e-06",27
"8.20969532178722e-06",43
"8.27075131504946e-06",30
"8.3032823705539e-06",44
"8.30447528172932e-06",77
"8.42054208081699e-06",1
"8.43814208987465e-06",25
"8.51233437250576e-06",2
"8.52977402922642e-06",22
"8.62018008787658e-06",5
"8.7184464890816e-06",5
"8.8526618294247e-06",14
"8.95998059130358e-06",2
"8.96552597049182e-06",3
"8.98191155287146e-06",28
"8.9965148885401e-06",6
"9.01305992382963e-06",19
"9.03066485396594e-06",37
"9.13361060760929e-06",33
"9.19546148802797e-06",58
"9.38275143214906e-06",2
"9.4411496200553e-06",6
"9.49290985110898e-06",14
"9.5137854751535e-06",5
"9.54328102492593e-06",3
"9.54877472613699e-06",3
"9.62043534394018e-06",67
"9.6492098675577e-06",30
"9.68855449535088e-06",64
"9.85163438614466e-06",38
"9.95924455810279e-06",8
"9.96393884466468e-06",32
"1.00145110264774e-05",20
"1.00202937317261e-05",1
"1.01046504969804e-05",41
"1.01150076368308e-05",3
"1.02357288350717e-05",29
"1.0262119152234e-05",7
"1.03384391438118e-05",4
"1.03791029631924e-05",7
"1.03805941021617e-05",7
"1.05125359224418e-05",1
"1.05152365778012e-05",1
"1.05476776123433e-05",16
"1.05824788783342e-05",1
"1.06660199690349e-05",2
"1.06726039183234e-05",44
"1.07942670817201e-05",24
"1.10159621291251e-05",25
"1.10276684200659e-05",36
"1.10345537856336e-05",48
"1.10658272867809e-05",15
"1.10726337089724e-05",62
"1.10750614929605e-05",1
"1.10830886844127e-05",7
"1.10887062379943e-05",1
"1.12094312002478e-05",7
"1.12273894410893e-05",30
"1.14935734505021e-05",38
"1.1516687680449e-05",2
"1.15445224127282e-05",66
"1.16024453735776e-05",23
"1.16245953187755e-05",52
"1.16812058742448e-05",37
"1.17168976963201e-05",9
"1.17646733157832e-05",9
"1.19040582165915e-05",7
"1.1941683640917e-05",13
"1.19540999344364e-05",3
"1.20174132317728e-05",24
"1.20397594373032e-05",7
"1.21298292541948e-05",5
"1.2172410015459e-05",12
"1.23145429826808e-05",31
"1.23501283851983e-05",34
"1.24061269725742e-05",19
"1.24549235558309e-05",37
"1.2456712922594e-05",49
"1.25065659471222e-05",7
"1.25181387830967e-05",5
"1.2657213134812e-05",18
"1.27250277487702e-05",8
"1.2725701379798e-05",1
"1.28493264616693e-05",1
"1.28700876743586e-05",2
"1.28736460832392e-05",46
"1.29114978572527e-05",2
"1.30188643344206e-05",22
"1.30953562488283e-05",2
"1.31355125148595e-05",15
"1.31487525294048e-05",7
"1.31845970154291e-05",3
"1.3278992744137e-05",12
"1.32852517928862e-05",24
"1.34128806575531e-05",90
"1.34686094815163e-05",60
"1.34728673293072e-05",41
"1.35195898857444e-05",5
"1.35459972809489e-05",12
"1.36476384467623e-05",20
"1.37004159114139e-05",5
"1.37119808960463e-05",17
"1.37845855250824e-05",24
"1.3793192232042e-05",5
"1.38407921362155e-05",47
"1.39564820470383e-05",26
"1.40174470490938e-05",44
"1.40203154370683e-05",28
"1.40342368013617e-05",5
"1.41155800299416e-05",33
"1.41296223293248e-05",44
"1.42393647766635e-05",2
"1.43669668131276e-05",4
"1.43855754728151e-05",21
"1.44306530159103e-05",10
"1.44738148013366e-05",4
"1.45006158496849e-05",2
"1.45210409883922e-05",2
"1.45307441484693e-05",5
"1.45328317430263e-05",2
"1.45956062734161e-05",47
"1.47127383808448e-05",47
"1.47541687233084e-05",10
"1.47667486572806e-05",8
"1.4777451579217e-05",38
"1.49388668371542e-05",1
"1.4945908266997e-05",32
"1.5021766539716e-05",26
"1.51569757454706e-05",9
"1.51630440775907e-05",24
"1.51855676365183e-05",2
"1.51879363453064e-05",2
"1.52248713498371e-05",41
"1.52941325378978e-05",2
"1.53535932526076e-05",21
"1.53610723855247e-05",10
"1.53926965503043e-05",57
"1.54921582014932e-05",13
"1.55224920910399e-05",7
"1.55984211113957e-05",27
"1.56322845296475e-05",4
"1.57183452175251e-05",20
"1.57762365040524e-05",26
"1.5821516418515e-05",22
"1.58522733538448e-05",5
"1.59169109566479e-05",4
"1.60089058774851e-05",7
"1.60232176423638e-05",27
"1.60454495658323e-05",1
"1.60954567890637e-05",82
"1.61914006225801e-05",4
"1.62065706555302e-05",2
"1.62797146895795e-05",9
"1.63489002991321e-05",2
"1.63536882239427e-05",29
"1.63547400846983e-05",5
"1.64193906435744e-05",26
"1.64666517369024e-05",65
"1.65239431936877e-05",2
"1.65415026300989e-05",21
"1.65518306784503e-05",47
"1.65987409301713e-05",16
"1.66065647411078e-05",24
"1.66089505634586e-05",42
"1.68298754096638e-05",8
"1.6841084161634e-05",31
"1.68762841797493e-05",15
"1.69555467951897e-05",58
"1.70217288596355e-05",5
"1.70246687450115e-05",17
"1.70595480584528e-05",19
"1.71520322945104e-05",3
"1.72403601757532e-05",20
"1.73009901702694e-05",7
"1.73167836190923e-05",50
"1.74024536336885e-05",3
"1.74036680603665e-05",3
"1.7436744854819e-05",6
"1.74368929781632e-05",24
"1.74713768272531e-05",5
"1.75218088113672e-05",8
"1.75253942963354e-05",5
"1.76508449418425e-05",3
"1.77053236588494e-05",6
"1.78520570966909e-05",12
"1.79125254613755e-05",2
"1.79199611826072e-05",27
"1.79310519409836e-05",15
"1.79638231057429e-05",25
"1.79930297770802e-05",32
"1.80261198476593e-05",27
"1.80613297079319e-05",13
"1.81133169105927e-05",3
"1.82586150231884e-05",6
"1.82672212152186e-05",27
"1.82788271534864e-05",10
"1.83685090281222e-05",5
"1.83909229760559e-05",42
"1.84584358216008e-05",4
"1.84718144740212e-05",11
"1.85251925777974e-05",8
"1.85268453989831e-05",4
"1.86091904588613e-05",5
"1.86823853337463e-05",13
"1.8685069383891e-05",11
"1.86899293987917e-05",32
"1.87655028642981e-05",16
"1.87780329205743e-05",87
"1.88119063875275e-05",17
"1.88822992401106e-05",18
"1.8985819702218e-05",9
"1.9027570950307e-05",18
"1.90865620498519e-05",33
"1.9097549452274e-05",18
"1.92408706878804e-05",43
"1.92927840062e-05",8
"1.92984197351154e-05",18
"1.93104691248587e-05",2
"1.93651977518665e-05",2
"1.93771089907018e-05",25
"1.95127135708017e-05",1
"1.95132035828351e-05",3
"1.95282965016309e-05",7
"1.96184802672208e-05",7
"1.96479315219063e-05",8
"1.97032687722893e-05",20
"1.97599820842829e-05",75
"1.97814712610547e-05",47
"1.98580499862162e-05",4
"1.99184891162056e-05",19
"1.99278776893294e-05",22
"1.99876490113695e-05",6
"2.00290220529547e-05",19
"2.00405874634523e-05",17
"2.00691485975125e-05",10
"2.01137535383787e-05",4
"2.01193209863296e-05",12
"2.02029142222744e-05",9
"2.02093009939608e-05",32
"2.02300152736615e-05",37
"2.03430418078571e-05",7
"2.04714576701434e-05",30
"2.0524238304468e-05",16
"2.05297476042786e-05",3
"2.05679713440695e-05",2
"2.06768782876236e-05",20
"2.07582059263848e-05",13
"2.07611882043233e-05",36
"2.07706704660153e-05",8
"2.09347230705574e-05",2
"2.10250718448837e-05",9
"2.10261705736407e-05",27
"2.10304731556025e-05",13
"2.10953552246866e-05",15
"2.11495614224643e-05",3
"2.11649577566684e-05",40
"2.11733700449125e-05",4
"2.11944334939871e-05",4
"2.1324435073066e-05",5
"2.13320399380697e-05",33
"2.13452078366468e-05",12
"2.13661075638778e-05",4
"2.14066472579732e-05",7
"2.14532278111341e-05",4
"2.14606090520849e-05",39
"2.15311987069263e-05",7
"2.15783632092227e-05",2
"2.15885341634401e-05",22
"2.16227391053038e-05",4
"2.17556926027361e-05",5
"2.18934094101242e-05",5
"2.20036982819678e-05",5
"2.20319242582502e-05",17
"2.20553368401319e-05",31
"2.20691075712671e-05",40
"2.21270012910624e-05",8
"2.21316545735617e-05",13
"2.21452674179449e-05",21
"2.2150122985921e-05",10
"2.21661773688255e-05",14
"2.21774124759887e-05",26
"2.21942911610651e-05",1
"2.24188624004955e-05",13
"2.24547788821787e-05",30
"2.25326498095741e-05",5
"2.25766621349148e-05",4
"2.26073957269196e-05",49
"2.26775068665381e-05",4
"2.26849459379008e-05",5
"2.2744566116386e-05",5
"2.28018971178402e-05",7
"2.28340265190232e-05",4
"2.28373070247556e-05",6
"2.29871469010042e-05",12
"2.29886537200699e-05",7
"2.30161483542331e-05",5
"2.30303898789113e-05",7
"2.30333753608979e-05",25
"2.30533124316634e-05",41
"2.30890448254564e-05",67
"2.32048907471553e-05",9
"2.32382373022398e-05",14
"2.32491906375509e-05",18
"2.33624117484896e-05",32
"2.33976316670936e-05",2
"2.34337953926401e-05",16
"2.35293466315664e-05",30
"2.35341009122218e-05",4
"2.35775178262876e-05",22
"2.36643547560786e-05",2
"2.37322746277725e-05",2
"2.37915286665789e-05",3
"2.38081164331829e-05",11
"2.3883367281834e-05",24
"2.39081998688727e-05",38
"2.40203579598521e-05",7
"2.40348264635457e-05",18
"2.40510883598505e-05",6
"2.40795188746063e-05",13
"2.41230246688943e-05",1
"2.41388872983421e-05",10
"2.41431851835955e-05",39
"2.42186011992723e-05",7
"2.42213862383772e-05",4
"2.42596585083896e-05",16
"2.43448200309179e-05",9
"2.4494682993134e-05",8
