"","Total Number of reads for each species across all samples"
"Candidatus Micrarchaeum sp.",10
"Candidatus Methanomethylophilus alvus",10286
"Aciduliprofundum boonei",50
"Candidatus Methanoplasma termitum",3434
"Methanomassiliicoccus Candidatus Methanomassiliicoccus intestinalis",448
"Cuniculiplasma divulgatum",47
"Ferroplasma acidiphilum",16
"Picrophilus torridus",12
"Thermoplasma volcanium",56
"Acidilobus saccharovorans",60
"Acidilobus sp. 7A",10
"Caldisphaera lagunensis",16
"Aeropyrum camini",30
"Aeropyrum pernix",204
"Desulfurococcus amylolyticus",16
"Desulfurococcus mucosus",10
"Ignicoccus hospitalis",10
"Staphylothermus marinus",10
"Thermosphaera aggregans",16
"Fervidicoccus fontis",12
"Acidianus brierleyi",171
"Acidianus hospitalis",39
"Acidianus manzaensis",98
"Acidianus sp. HS-5",32
"Acidianus sulfidivorans",44
"Metallosphaera hakonensis",28
"Saccharolobus caldissimus",94
"Saccharolobus shibatae",10
"Saccharolobus solfataricus",31
"Stygiolobus sp. KN-1",64
"Sulfolobus acidocaldarius",22
"Sulfolobus islandicus",144
"Sulfolobus sp. A20",14
"Sulfuracidifex tepidarius",28
"Sulfurisphaera tokodaii",22
"Infirmifilum uzonense",22
"Thermofilum pendens",60
"Caldivirga maquilingensis",10
"Pyrobaculum arsenaticum",33
"Pyrobaculum calidifontis",12
"Pyrobaculum ferrireducens",110
"Pyrobaculum neutrophilum",12
"Thermoproteus tenax",52
"Thermoproteus uzoniensis",38
"Vulcanisaeta moutnovskia",42
"Archaeoglobus fulgidus",80
"Archaeoglobus profundus",26
"Archaeoglobus sulfaticallidus",36
"Archaeoglobus veneficus",22
"Ferroglobus placidus",38
"Geoglobus ahangari",56
"Halapricum desulfuricans",516
"Halapricum salinum",164
"Haloarcula marismortui",45
"Haloarcula sinaiiensis",87
"Haloarcula sp. CBA1115",45
"Haloarcula sp. JP-L23",428
"Haloarcula taiwanensis",205
"Halococcoides cellulosivorans",92
"Halomicrobium salinisoli",356
"Halomicrobium sp. LC1Hm",198
"Halorhabdus sp. CBA1104",108
"Halorhabdus tiamatea",196
"Halorhabdus utahensis",207
"Halorientalis sp. IM1011",152
"Halosiccatus urmianus",238
"Halosimplex litoreum",260
"Halosimplex pelagicum",375
"Halosimplex rubrum",402
"Natronomonas halophila",126
"Natronomonas moolapensis",102
"Natronomonas pharaonis",74
"Natronomonas salina",266
"Haladaptatus pallidirubidus",240
"Haladaptatus sp. PSR5",189
"Haladaptatus sp. PSR8",286
"Halalkalicoccus jeotgali",190
"Halanaeroarchaeum sulfurireducens",24
"Halarchaeum sp. CBA1220",226
"Halobacterium hubeiense",457
"Halobacterium litoreum",198
"Halobacterium noricense",285
"Halobacterium sp. DL1",277
"Halobacterium sp. Gai3-17",127
"Halobacterium sp. XZYJT26",120
"Halodesulfurarchaeum formicicum",126
"Halorussus halophilus",230
"Halorussus sp. RC-68",148
"Natranaeroarchaeum sulfidigenum",114
"Salarchaeum japonicum",224
"Salarchaeum sp. JOR-1",83
"Halobellus limi",280
"Haloferax alexandrinus",76
"Haloferax gibbonsii",264
"Haloferax mediterranei",184
"Halogeometricum borinquense",164
"Haloplanus aerogenes",200
"Haloplanus rallus",156
"Haloplanus rubicundus",262
"Haloprofundus sp. Gai1-5",188
"Haloprofundus sp. MHR1",140
"Haloprofundus sp. SEDH52",116
"Haloprofundus sp. SQT7-1",150
"Haloquadratum walsbyi",58
"Halalkaliarchaeum desulfuricum",166
"Halobaculum halophilum",216
"Halobaculum magnesiiphilum",346
"Halobaculum roseum",233
"Halobaculum rubrum",196
"Halobaculum salinum",322
"Halobaculum sp. CBA1158",195
"Halolamina sp. CBA1230",232
"Halopenitus persicus",138
"Halorubrum ezzemoulense",99
"Halorubrum lacusprofundi",288
"Halorubrum salinarum",154
"Halorubrum sodomense",110
"Halorubrum sp. 2020YC2",91
"Halorubrum sp. BOL3-1",72
"Halorubrum sp. CBA1229",221
"Halorubrum sp. PV6",139
"Halorubrum trapanicum",200
"Salinigranum rubrum",275
"Halobiforma lacisalsi",195
"Halopiger xanaduensis",166
"Halostagnicola larsenii",90
"Haloterrigena daqingensis",127
"Haloterrigena longa",135
"Haloterrigena salifodinae",208
"Haloterrigena sp. KZCA68",139
"Haloterrigena sp. YPL8",197
"Haloterrigena turkmenica",266
"Halovivax ruber",56
"Halovivax sp. KZCA124",174
"Natrarchaeobaculum aegyptiacum",156
"Natrarchaeobaculum sulfurireducens",128
"Natrialba magadii",196
"Natrinema pallidum",146
"Natrinema pellirubrum",234
"Natrinema sp. DC36",160
"Natrinema sp. J7-2",89
"Natrinema sp. SLN56",192
"Natrinema sp. SYSU A 869",147
"Natrinema sp. YPL30",280
"Natrinema versiforme",231
"Natronobacterium gregoryi",159
"Natronococcus occultus",222
"Natronorubrum aibiense",81
"Natronorubrum bangense",130
"Salinarchaeum sp. Harcht-Bsk1",174
"Salinarchaeum sp. IM2453",22
"Methanobacterium congolense",110
"Methanobacterium formicicum",94
"Methanobacterium lacus",42
"Methanobacterium paludis",78
"Methanobacterium sp. MethCAN",64
"Methanobrevibacter arboriphilus",228
"Methanobrevibacter millerae",211
"Methanobrevibacter olleyae",227
"Methanobrevibacter ruminantium",200
"Methanobrevibacter smithii",202
"Methanobrevibacter sp. AbM4",140
"Methanobrevibacter sp. YE315",91
"Methanosphaera sp. BMS",120
"Methanosphaera stadtmanae",112
"Methanothermobacter marburgensis",10
"Methanothermobacter sp. THM-1",36
"Methanothermus fervidus",34
"Methanocaldococcus bathoardescens",33
"Methanocaldococcus fervens",40
"Methanocaldococcus infernus",18
"Methanocaldococcus jannaschii",12
"Methanocaldococcus sp. FS406-22",48
"Methanocaldococcus sp. SG7",28
"Methanocaldococcus vulcanius",40
"Methanofervidicoccus sp. A16",28
"Methanotorris igneus",104
"Methanococcus aeolicus",124
"Methanococcus maripaludis",382
"Methanococcus vannielii",142
"Methanothermococcus okinawensis",158
"Methanocella arvoryzae",268
"Methanocella conradii",178
"Methanocella paludicola",106
"Methanocorpusculum labreanum",184
"Methanoculleus bourgensis",290
"Methanoculleus chikugoensis",134
"Methanoculleus marisnigri",137
"Methanofollis formosanus",166
"Methanofollis liminatans",178
"Methanolacinia petrolearia",116
"Methanoplanus limicola",250
"Methanoregula boonei",106
"Methanoregula formicica",160
"Methanosphaerula palustris",266
"Methanospirillum hungatei",262
"Methanospirillum sp. J.3.6.1-F.2.7.3",29
